GameDate,Avg_Pace,Pace_Diff,OffRating_Diff,DefRating_Diff,NetRating_Diff,Rest_Days_Diff,BackToBack_Sum,Avg_Rolling_Pace_5g,Pace_Diff_Rolling_5g,Rolling_OffRating_Diff_5g,Rolling_DefRating_Diff_5g,Avg_Rolling_Pace_7g,Pace_Diff_Rolling_7g,Rolling_OffRating_Diff_7g,Rolling_DefRating_Diff_7g,Avg_Rolling_Pace_10g,Pace_Diff_Rolling_10g,Rolling_OffRating_Diff_10g,Rolling_DefRating_Diff_10g,TotalPoints,HomeTeam_Atlanta Hawks,HomeTeam_Boston Celtics,HomeTeam_Brooklyn Nets,HomeTeam_Charlotte Hornets,HomeTeam_Chicago Bulls,HomeTeam_Cleveland Cavaliers,HomeTeam_Dallas Mavericks,HomeTeam_Denver Nuggets,HomeTeam_Detroit Pistons,HomeTeam_Golden State Warriors,HomeTeam_Houston Rockets,HomeTeam_Indiana Pacers,HomeTeam_LA Clippers,HomeTeam_Los Angeles Lakers,HomeTeam_Memphis Grizzlies,HomeTeam_Miami Heat,HomeTeam_Milwaukee Bucks,HomeTeam_Minnesota Timberwolves,HomeTeam_New Orleans Pelicans,HomeTeam_New York Knicks,HomeTeam_Oklahoma City Thunder,HomeTeam_Orlando Magic,HomeTeam_Philadelphia 76ers,HomeTeam_Phoenix Suns,HomeTeam_Portland Trail Blazers,HomeTeam_Sacramento Kings,HomeTeam_San Antonio Spurs,HomeTeam_Toronto Raptors,HomeTeam_Utah Jazz,HomeTeam_Washington Wizards,AwayTeam_Atlanta Hawks,AwayTeam_Boston Celtics,AwayTeam_Brooklyn Nets,AwayTeam_Charlotte Hornets,AwayTeam_Chicago Bulls,AwayTeam_Cleveland Cavaliers,AwayTeam_Dallas Mavericks,AwayTeam_Denver Nuggets,AwayTeam_Detroit Pistons,AwayTeam_Golden State Warriors,AwayTeam_Houston Rockets,AwayTeam_Indiana Pacers,AwayTeam_LA Clippers,AwayTeam_Los Angeles Lakers,AwayTeam_Memphis Grizzlies,AwayTeam_Miami Heat,AwayTeam_Milwaukee Bucks,AwayTeam_Minnesota Timberwolves,AwayTeam_New Orleans Pelicans,AwayTeam_New York Knicks,AwayTeam_Oklahoma City Thunder,AwayTeam_Orlando Magic,AwayTeam_Philadelphia 76ers,AwayTeam_Phoenix Suns,AwayTeam_Portland Trail Blazers,AwayTeam_Sacramento Kings,AwayTeam_San Antonio Spurs,AwayTeam_Toronto Raptors,AwayTeam_Utah Jazz,AwayTeam_Washington Wizards
2021-01-25,100.94999999999999,-1.7000000000000028,0.30000000000001137,0.5,-10.600000000000001,0.0,0,100.94999999999999,-1.7000000000000028,0.30000000000001137,0.5,100.94999999999999,-1.7000000000000028,0.30000000000001137,0.5,100.86500000000001,-1.5700000000000074,0.010000000000005116,-0.01999999999999602,223,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-01-29,102.94999999999999,2.299999999999997,1.9000000000000057,-1.2999999999999972,-10.9,0.0,0,102.94999999999999,2.299999999999997,1.9000000000000057,-1.2999999999999972,102.94999999999999,2.299999999999997,1.9000000000000057,-1.2999999999999972,102.99000000000001,2.5799999999999983,1.4899999999999949,-1.4300000000000068,212,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-01-31,102.9,2.200000000000003,4.800000000000011,1.2000000000000028,-5.4,0.0,0,102.9,2.200000000000003,4.800000000000011,1.2000000000000028,102.9,2.200000000000003,4.800000000000011,1.2000000000000028,102.875,2.25,4.680000000000021,1.0300000000000011,229,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-02-03,101.19999999999999,-1.2000000000000028,3.0,0.20000000000000284,-8.2,-1.0,0,101.19999999999999,-1.2000000000000028,3.0,0.20000000000000284,101.19999999999999,-1.2000000000000028,3.0,0.20000000000000284,101.19999999999999,-1.2000000000000028,3.0,0.20000000000000284,229,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-02-09,102.0,0.4000000000000057,6.0,-3.799999999999997,-9.2,-1.0,0,102.0,0.4000000000000057,6.0,-3.799999999999997,102.0,0.4000000000000057,6.0,-3.799999999999997,102.0,0.4000000000000057,6.0,-3.799999999999997,230,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-02-11,101.3,-1.0,9.800000000000011,-2.6000000000000085,-4.2,0.0,0,101.3,-1.0,9.800000000000011,-2.6000000000000085,101.3,-1.0,9.800000000000011,-2.6000000000000085,101.3,-1.0,9.800000000000011,-2.6000000000000085,232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-02-13,100.55,-2.5,9.800000000000011,2.0,0.39999999999999947,1.0,0,100.55,-2.5,9.800000000000011,2.0,100.55,-2.5,9.800000000000011,2.0,100.55,-2.5,9.800000000000011,2.0,231,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-02-15,101.3,-1.0,10.0,5.099999999999994,3.7,0.0,0,101.3,-1.0,10.0,5.099999999999994,101.3,-1.0,10.0,5.099999999999994,101.3,-1.0,10.0,5.099999999999994,257,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-02-21,101.69999999999999,-0.20000000000000284,4.200000000000003,1.0,-6.2,0.0,0,101.69999999999999,-0.20000000000000284,4.200000000000003,1.0,101.69999999999999,-0.20000000000000284,4.200000000000003,1.0,101.69999999999999,-0.20000000000000284,4.200000000000003,1.0,213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2021-02-23,101.69999999999999,-0.20000000000000284,4.200000000000003,1.0,-6.2,0.0,0,101.69999999999999,-0.20000000000000284,4.200000000000003,1.0,101.69999999999999,-0.20000000000000284,4.200000000000003,1.0,101.69999999999999,-0.20000000000000284,4.200000000000003,1.0,211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
