Avg_Pace,Pace_Diff,OffRating_Diff,DefRating_Diff,NetRating_Diff,Rest_Days_Diff,BackToBack_Sum,Avg_Rolling_Pace_5g,Pace_Diff_Rolling_5g,Rolling_OffRating_Diff_5g,Rolling_DefRating_Diff_5g,TOVPct_Diff_Rolling_5g,REBPct_Diff_Rolling_5g,Avg_Rolling_Pace_7g,Pace_Diff_Rolling_7g,Rolling_OffRating_Diff_7g,Rolling_DefRating_Diff_7g,TOVPct_Diff_Rolling_7g,REBPct_Diff_Rolling_7g,Avg_Rolling_Pace_10g,Pace_Diff_Rolling_10g,Rolling_OffRating_Diff_10g,Rolling_DefRating_Diff_10g,TOVPct_Diff_Rolling_10g,REBPct_Diff_Rolling_10g,TotalPoints,GameDate
97.6,-3.6000000000000085,3.200000000000003,-1.7999999999999972,-6.8999999999999995,-1.0,1,,,,,,,,,,,,,,,,,,,213,2015-10-29
98.6,-1.6000000000000085,6.299999999999997,1.2000000000000028,-0.7999999999999998,0.0,0,,,,,,,,,,,,,,,,,,,186,2015-11-01
97.55000000000001,-3.700000000000003,5.400000000000006,1.5,-1.4999999999999996,0.0,0,,,,,,,,,,,,,,,,,,,190,2015-11-03
99.15,-0.5,4.400000000000006,-4.299999999999997,-8.2,1.0,0,,,,,,,,,,,,,,,,,,,236,2015-11-06
100.25,1.6999999999999886,5.1000000000000085,2.0999999999999943,-1.0999999999999996,0.0,0,,,,,,,,,,,,,,,,,,,199,2015-11-13
98.4,-2.0,2.1000000000000085,-5.5,-11.7,1.0,0,,,,,,,,,,,,,,,,,,,178,2015-11-17
97.45,-3.9000000000000057,9.299999999999997,0.7000000000000028,1.7000000000000002,-1.0,0,97.45,-3.9000000000000057,9.299999999999997,0.7000000000000028,-0.009000000000000008,0.04500000000000004,,,,,,,,,,,,,206,2015-11-21
98.5,-1.8000000000000114,5.5,-4.099999999999994,-6.8999999999999995,1.0,1,98.5,-1.8000000000000114,5.5,-4.099999999999994,0.0030000000000000027,0.02300000000000002,98.5,-1.8000000000000114,5.5,-4.099999999999994,0.0030000000000000027,0.02300000000000002,,,,,,,194,2015-11-25
97.55000000000001,-3.700000000000003,3.799999999999997,-2.4000000000000057,-7.0,0.0,0,97.55000000000001,-3.700000000000003,3.799999999999997,-2.4000000000000057,-0.011999999999999983,0.016000000000000014,97.55000000000001,-3.700000000000003,3.799999999999997,-2.4000000000000057,-0.011999999999999983,0.016000000000000014,,,,,,,217,2015-11-27
97.55000000000001,-3.700000000000003,9.600000000000009,6.400000000000006,7.700000000000001,0.0,2,97.55000000000001,-3.700000000000003,9.600000000000009,6.400000000000006,-0.012999999999999984,0.04500000000000004,97.55000000000001,-3.700000000000003,9.600000000000009,6.400000000000006,-0.012999999999999984,0.04500000000000004,,,,,,,196,2015-11-28
97.9,-3.0,6.0,-1.2999999999999972,-3.4999999999999996,-3.0,0,97.9,-3.0,6.0,-1.2999999999999972,-0.01899999999999999,0.010000000000000009,97.9,-3.0,6.0,-1.2999999999999972,-0.01899999999999999,0.010000000000000009,,,,,,,193,2015-12-09
99.4,0.0,11.100000000000009,0.0,2.8000000000000007,1.0,1,99.4,0.0,11.100000000000009,0.0,0.009000000000000008,0.07200000000000006,99.4,0.0,11.100000000000009,0.0,0.009000000000000008,0.07200000000000006,99.4,0.0,11.100000000000009,0.0,0.009000000000000008,0.07200000000000006,201,2015-12-10
